Order_ID,Category,City,Customer_Age,Price,Quantity,Delivery_Time_mins,Payment_Method,Rating,Order_Status
ZPT2000,Personal Care,Pune,19.0,,8.0,26.0,Debit Card,3.0,Delivered
ZPT2001,Dairy & Eggs,Mumbai,53.0,2126.57,8.0,17.0,UPI,2.0,Returned
ZPT2002,Bakery,Ahmedabad,58.0,45.26,8.0,23.0,Wallet,5.0,
ZPT2003,Snacks,Mumbai,27.0,1771.35,7.0,23.0,Wallet,4.0,Pending
ZPT2004,Beverages,Pune,58.0,2457.07,10.0,25.0,UPI,1.0,Cancelled
ZPT2005,Dairy & Eggs,Chennai,36.0,418.03,5.0,300.0,Credit Card,1.0,
ZPT2006,Bakery,Chennai,22.0,,11.0,15.0,Debit Card,,Cancelled
ZPT2007,Personal Care,Pune,23.0,480.05,12.0,40.0,,4.0,Cancelled
ZPT2008,Snacks,Pune,19.0,2075.74,6.0,37.0,Credit Card,,Pending
ZPT2009,Cleaning,Kolkata,41.0,1297.64,1.0,38.0,Credit Card,2.0,Returned
ZPT2010,fruits & vegetables,Chennai,53.0,2057.98,3.0,10.0,UPI,3.0,
ZPT2011,Dairy & Eggs,,19.0,449.21,12.0,15.0,Wallet,1.0,Returned
ZPT2012,Cleaning,Hyderabad,47.0,1041.94,1.0,29.0,Credit Card,1.0,Pending
ZPT2013,Meat & Fish,Bangalore,56.0,989.05,10.0,22.0,,4.0,
ZPT2014,Meat & Fish,,61.0,1120.32,10.0,37.0,,2.0,
ZPT2015,Bakery,Kolkata,41.0,530.91,,28.0,Cash,1.0,Cancelled
ZPT2016,Dairy & Eggs,,20.0,,7.0,25.0,,5.0,Pending
ZPT2017,Dairy & Eggs,Chennai,,2459.63,5.0,15.0,Debit Card,5.0,Returned
ZPT2018,Beverages,Kolkata,30.0,2181.4,11.0,14.0,Debit Card,1.0,Returned
ZPT2019,Snacks,,,2390.71,11.0,49.0,Debit Card,3.0,
ZPT2010,Bakery,,26.0,1514.54,5.0,11.0,,2.0,
ZPT2021,Meat & Fish,Pune,38.0,1967.53,9.0,37.0,Credit Card,2.0,Cancelled
ZPT2022,Dairy & Eggs,,,820.72,7.0,19.0,Cash,3.0,Returned
ZPT2023,Meat & Fish,Mumbai,33.0,326.22,5.0,43.0,Wallet,5.0,Returned
ZPT2024,Fruits & Vegetables,,45.0,971.89,14.0,15.0,,3.0,Pending
ZPT2025,Meat & Fish,Delhi,55.0,2025.49,13.0,15.0,Debit Card,3.0,Returned
ZPT2026,Bakery,,64.0,183.53,10.0,40.0,UPI,5.0,Returned
ZPT2027,Meat & Fish,Delhi,54.0,1024.55,1.0,15.0,,3.0,Delivered
ZPT2028,Personal Care,Pune,62.0,1262.81,13.0,17.0,Wallet,2.0,Pending
ZPT2029,Fruits & Vegetables,Hyderabad,35.0,958.06,11.0,39.0,Wallet,1.0,Delivered
ZPT2030,Beverages,Delhi,27.0,990.66,1.0,37.0,Cash,1.0,Cancelled
ZPT2031,Snacks,,50.0,2165.57,5.0,25.0,,1.0,
ZPT2032,Fruits & Vegetables,Bangalore,39.0,374.93,12.0,38.0,,1.0,Delivered
ZPT2033,Bakery,Bangalore,59.0,1265.16,3.0,12.0,UPI,1.0,Returned
ZPT2034,Snacks,Kolkata,53.0,2074.5,7.0,13.0,UPI,4.0,Delivered
ZPT2035,Cleaning,,37.0,403.85,5.0,46.0,,4.0,Returned
ZPT2036,Meat & Fish,Ahmedabad,40.0,1500.16,10.0,45.0,Cash,4.0,Delivered
ZPT2037,Beverages,Delhi,44.0,1560.29,14.0,42.0,UPI,2.0,
ZPT2038,Cleaning,Chennai,23.0,2183.11,7.0,30.0,,2.0,Pending
ZPT2039,Meat & Fish,,30.0,900.18,2.0,14.0,UPI,1.0,
ZPT2040,Personal Care,Pune,50.0,,9.0,27.0,,5.0,Delivered
ZPT2041,Meat & Fish,Mumbai,45.0,555.06,13.0,15.0,Cash,,Pending
ZPT2042,Bakery,Kolkata,19.0,2210.78,3.0,10.0,,,Delivered
ZPT2043,Beverages,Mumbai,62.0,146.77,5.0,27.0,Debit Card,1.0,
ZPT2044,Snacks,,29.0,2398.71,1.0,30.0,Cash,7.0,Pending
ZPT2045,Dairy & Eggs,Ahmedabad,29.0,451.33,5.0,19.0,Debit Card,2.0,Delivered
ZPT2046,Snacks,Kolkata,47.0,652.6,1.0,,Cash,4.0,Cancelled
